traditional,simplified,pinyin,translation_1,translation_2,translation_3,translation_4,translation_5,translation_6,translation_7,translation_8,translation_9,translation_10,translation_11,translation_12,translation_13,translation_14,translation_15,translation_16,translation_17,translation_18
翻版碟,翻版碟,fan1 ban3 die2],copy of DVD,pirate DVD,,,,,,,,,,,,,,,,
翻番,翻番,fan1 fan1],to double,to increase by a certain number of times,,,,,,,,,,,,,,,,
翻白眼,翻白眼,fan1 bai2 yan3],to roll one's eyes,,,,,,,,,,,,,,,,,
翻盤,翻盘,fan1 pan2],to make a comeback,(of a doctor's assessment of the gender of a fetus) to turn out to be wrong,,,,,,,,,,,,,,,,
翻看,翻看,fan1 kan4],to browse,to look over (books),,,,,,,,,,,,,,,,
翻石鷸,翻石鹬,fan1 shi2 yu4],(bird species of China) ruddy turnstone (Arenaria interpres),,,,,,,,,,,,,,,,,
翻空出奇,翻空出奇,fan1 kong1 chu1 qi2],to overturn empty convention and display originality (idiom); new and different ideas,,,,,,,,,,,,,,,,,
翻筋斗,翻筋斗,fan1 jin1 dou3],to tumble,to turn a somersault,,,,,,,,,,,,,,,,
翻箱倒櫃,翻箱倒柜,fan1 xiang1 dao3 gui4],to overturn trunks and boxes,to make a thorough search (idiom),,,,,,,,,,,,,,,,
翻箱倒篋,翻箱倒箧,fan1 xiang1 dao3 qie4],to overturn trunks and boxes,to make a thorough search (idiom),,,,,,,,,,,,,,,,
翻篇兒,翻篇儿,fan1 pian1 r5],to turn a page,(fig.) to turn over a new leaf,,,,,,,,,,,,,,,,
翻糖,翻糖,fan1 tang2],fondant (loanword),,,,,,,,,,,,,,,,,
翻老賬,翻老账,fan1 lao3 zhang4],to turn over old accounts,fig. to revive old quarrels,to reopen old wounds,,,,,,,,,,,,,,,
翻耕,翻耕,fan1 geng1],to plow,to turn the soil,,,,,,,,,,,,,,,,
翻臉,翻脸,fan1 lian3],to fall out with sb,to become hostile,,,,,,,,,,,,,,,,
翻臉不認人,翻脸不认人,fan1 lian3 bu4 ren4 ren2],to fall out with sb and become hostile,,,,,,,,,,,,,,,,,
翻舊賬,翻旧账,fan1 jiu4 zhang4],to turn over old accounts,fig. to revive old quarrels,to reopen old wounds,,,,,,,,,,,,,,,
翻船,翻船,fan1 chuan2],to capsize,(fig.) to suffer a setback or defeat,,,,,,,,,,,,,,,,
翻蓋,翻盖,fan1 gai4],flip-top (mobile phone handbag etc),to rebuild,to renovate,,,,,,,,,,,,,,,
翻覆,翻覆,fan1 fu4],to overturn (a vehicle),to capsize,to turn upside down,to change completely,,,,,,,,,,,,,,
翻譯,翻译,fan1 yi4],to translate,to interpret,translator,interpreter,translation,interpretation,CL:個|个[ge4]位[wei4]名[ming2],,,,,,,,,,,
翻譯家,翻译家,fan1 yi4 jia1],translator (of writings),,,,,,,,,,,,,,,,,
翻譯者,翻译者,fan1 yi4 zhe3],translator,interpreter,,,,,,,,,,,,,,,,
翻越,翻越,fan1 yue4],to cross,to surmount,to transcend,,,,,,,,,,,,,,,
翻跟斗,翻跟斗,fan1 gen1 dou3],to turn a somersault,,,,,,,,,,,,,,,,,
翻跟頭,翻跟头,fan1 gen1 tou5],to turn a somersault,,,,,,,,,,,,,,,,,
翻身,翻身,fan1 shen1],to turn over (when lying),(fig.) to free oneself,to emancipate oneself,to bring about a change of one's fortunes,,,,,,,,,,,,,,
翻車魚,翻车鱼,fan1 che1 yu2],ocean sunfish (Mola mola),,,,,,,,,,,,,,,,,
